,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,Total_Assets,Assets_score,Assets_to_loan_score,Income_to_loan,Income_to_loan_score,Income_to_Loan_score_per_dependancy
1765,4, Not Graduate, Yes,3600000,9500000,2,841,4900000,4400000,13500000,2100000,1,22800000,19174800000,2018.4,0.7578947368421053,637.3894736842105,127.4778947368421
1766,2, Not Graduate, No,7500000,29100000,20,815,12400000,9500000,25300000,9100000,1,47200000,38468000000,1321.9243986254296,5.154639175257732,4201.030927835051,1400.343642611684
1767,5, Graduate, Yes,200000,400000,18,822,200000,300000,600000,300000,1,1100000,904200000,2260.5,9.0,7398.0,1233.0
1768,4, Not Graduate, No,9900000,29100000,18,772,24100000,19400000,26800000,11700000,1,70300000,54271600000,1865.0034364261169,6.123711340206185,4727.505154639175,945.501030927835
1769,5, Graduate, Yes,6100000,22500000,6,776,17600000,9900000,13800000,4800000,1,41300000,32048800000,1424.391111111111,1.6266666666666667,1262.2933333333333,210.38222222222223
1770,4, Not Graduate, Yes,3500000,10300000,10,337,9000000,5600000,10500000,4500000,0,25100000,8458700000,821.2330097087379,3.3980582524271843,1145.1456310679612,229.02912621359224
1771,0, Not Graduate, Yes,7800000,19000000,12,333,15400000,14900000,30600000,9600000,0,60900000,20279700000,1067.3526315789475,4.926315789473684,1640.463157894737,1640.463157894737
1772,3, Not Graduate, Yes,8700000,29300000,4,312,9000000,2800000,30000000,4900000,1,41800000,13041600000,445.1058020477816,1.1877133105802047,370.56655290102384,92.64163822525596
1773,2, Graduate, Yes,5500000,12400000,14,842,-100000,6800000,15800000,5800000,1,22500000,18945000000,1527.8225806451612,6.209677419354839,5228.548387096775,1742.8494623655915
1774,3, Graduate, Yes,1800000,5100000,8,790,100000,0,3700000,2000000,1,3800000,3002000000,588.6274509803922,2.823529411764706,2230.5882352941176,557.6470588235294
1775,2, Graduate, No,8000000,31900000,16,806,19900000,1800000,23200000,5400000,1,44900000,36189400000,1134.4639498432603,4.012539184952978,3234.1065830721,1078.0355276907
1776,5, Not Graduate, Yes,7500000,17000000,8,300,7800000,8300000,18900000,6700000,0,35000000,10500000000,617.6470588235294,3.5294117647058822,1058.8235294117646,176.47058823529412
1777,5, Graduate, Yes,3700000,12000000,12,605,4900000,1800000,13200000,3100000,1,19900000,12039500000,1003.2916666666666,3.7,2238.5,373.0833333333333
1778,2, Graduate, Yes,1600000,4700000,12,582,1500000,1300000,5200000,1000000,1,8000000,4656000000,990.6382978723404,4.085106382978723,2377.531914893617,792.5106382978723
1779,5, Graduate, No,1300000,2700000,6,607,800000,1500000,4700000,1600000,1,7000000,4249000000,1573.7037037037037,2.888888888888889,1753.5555555555554,292.25925925925924
1780,5, Graduate, Yes,2400000,8200000,10,709,2100000,3700000,8800000,2800000,1,14600000,10351400000,1262.3658536585365,2.926829268292683,2075.121951219512,345.8536585365853
1781,4, Graduate, Yes,4100000,11600000,14,854,500000,6900000,12700000,5700000,1,20100000,17165400000,1479.7758620689656,4.948275862068965,4225.827586206897,845.1655172413793
1782,2, Not Graduate, Yes,7300000,15200000,20,776,14700000,9600000,26400000,4100000,1,50700000,39343200000,2588.3684210526317,9.605263157894736,7453.684210526315,2484.5614035087715
1783,1, Graduate, Yes,8000000,24600000,12,649,10800000,1600000,21800000,9200000,1,34200000,22195800000,902.2682926829268,3.902439024390244,2532.682926829268,1266.341463414634
1784,3, Not Graduate, No,7900000,28000000,4,394,22800000,13200000,18200000,3900000,1,54200000,21354800000,762.6714285714286,1.1285714285714286,444.65714285714284,111.16428571428571
1785,4, Not Graduate, No,7200000,18900000,16,371,6600000,14100000,18900000,4900000,0,39600000,14691600000,777.3333333333334,6.095238095238095,2261.333333333333,452.2666666666666
1786,3, Not Graduate, No,6200000,13200000,14,707,17200000,8900000,23100000,4200000,1,49200000,34784400000,2635.181818181818,6.575757575757576,4649.060606060606,1162.2651515151515
1787,2, Not Graduate, Yes,5700000,18100000,20,491,6800000,100000,17700000,3900000,0,24600000,12078600000,667.3259668508288,6.298342541436464,3092.486187845304,1030.828729281768
1788,0, Graduate, Yes,5800000,14100000,16,570,8200000,4200000,16400000,3700000,1,28800000,16416000000,1164.2553191489362,6.581560283687943,3751.4893617021276,3751.4893617021276
1789,1, Not Graduate, No,900000,3500000,18,395,2500000,800000,3000000,1300000,0,6300000,2488500000,711.0,4.628571428571429,1828.2857142857144,914.1428571428572
1790,0, Not Graduate, Yes,2200000,7500000,10,497,2300000,2100000,5700000,1800000,0,10100000,5019700000,669.2933333333333,2.933333333333333,1457.8666666666666,1457.8666666666666
1791,3, Not Graduate, Yes,1800000,5300000,14,440,2000000,100000,3700000,1000000,0,5800000,2552000000,481.50943396226415,4.754716981132075,2092.0754716981132,523.0188679245283
1792,0, Not Graduate, Yes,800000,2400000,16,825,700000,0,3100000,1100000,1,3800000,3135000000,1306.25,5.333333333333333,4400.0,4400.0
1793,2, Graduate, Yes,7600000,18100000,14,320,14700000,2600000,28100000,8500000,0,45400000,14528000000,802.6519337016574,5.878453038674033,1881.1049723756905,627.0349907918968
1794,2, Graduate, Yes,4100000,13500000,4,846,8900000,7800000,11400000,2400000,1,28100000,23772600000,1760.9333333333334,1.2148148148148148,1027.7333333333333,342.5777777777778
1795,3, Graduate, Yes,4600000,10900000,12,856,13500000,5100000,9400000,3300000,1,28000000,23968000000,2198.8990825688074,5.064220183486238,4334.97247706422,1083.743119266055
1796,3, Graduate, No,2300000,6800000,10,418,2800000,2700000,6300000,1400000,0,11800000,4932400000,725.3529411764706,3.3823529411764706,1413.8235294117646,353.45588235294116
1797,0, Not Graduate, Yes,8000000,21100000,6,306,16100000,11800000,28200000,8700000,0,56100000,17166600000,813.5829383886256,2.2748815165876777,696.1137440758293,696.1137440758293
1798,2, Not Graduate, Yes,3800000,14500000,16,567,2400000,2600000,10500000,3000000,1,15500000,8788500000,606.1034482758621,4.1931034482758625,2377.489655172414,792.496551724138
1799,2, Not Graduate, Yes,9500000,36800000,6,493,24100000,13800000,32100000,6200000,0,70000000,34510000000,937.7717391304348,1.548913043478261,763.6141304347826,254.53804347826087
1800,2, Graduate, No,9300000,21200000,2,509,2800000,2600000,35800000,6600000,0,41200000,20970800000,989.188679245283,0.8773584905660378,446.57547169811323,148.85849056603774
1801,4, Graduate, No,4700000,17000000,4,364,2900000,4600000,18800000,6200000,1,26300000,9573200000,563.1294117647059,1.1058823529411765,402.54117647058825,80.50823529411765
1802,5, Not Graduate, No,6000000,24000000,20,639,300000,7300000,15100000,6600000,1,22700000,14505300000,604.3875,5.0,3195.0,532.5
1803,2, Graduate, Yes,5500000,21700000,2,309,11800000,1000000,21600000,7600000,1,34400000,10629600000,489.84331797235023,0.5069124423963134,156.63594470046084,52.21198156682028
1804,0, Not Graduate, Yes,4600000,14800000,6,433,12100000,4600000,11100000,6700000,0,27800000,12037400000,813.3378378378378,1.864864864864865,807.4864864864865,807.4864864864865
1805,5, Not Graduate, No,9900000,33600000,20,580,7000000,10800000,37400000,14700000,1,55200000,32016000000,952.8571428571429,5.892857142857143,3417.857142857143,569.6428571428572
1806,1, Graduate, Yes,6200000,16200000,4,888,-100000,12000000,24300000,4000000,1,36200000,32145600000,1984.2962962962963,1.5308641975308641,1359.4074074074074,679.7037037037037
1807,4, Not Graduate, Yes,400000,1100000,6,644,1000000,300000,1600000,400000,1,2900000,1867600000,1697.8181818181818,2.1818181818181817,1405.090909090909,281.0181818181818
1808,1, Not Graduate, Yes,7800000,22200000,10,763,11200000,1400000,27000000,4900000,1,39600000,30214800000,1361.027027027027,3.5135135135135136,2680.810810810811,1340.4054054054054
1809,0, Graduate, Yes,2900000,10800000,20,694,6400000,200000,10600000,2100000,1,17200000,11936800000,1105.2592592592594,5.37037037037037,3727.037037037037,3727.037037037037
1810,3, Not Graduate, No,500000,1200000,6,757,1300000,100000,1200000,600000,1,2600000,1968200000,1640.1666666666667,2.5,1892.5,473.125
1811,0, Not Graduate, No,2500000,6900000,12,471,7100000,4000000,5200000,1500000,0,16300000,7677300000,1112.6521739130435,4.3478260869565215,2047.8260869565215,2047.8260869565215
1812,5, Not Graduate, No,9000000,35200000,2,437,18400000,17800000,18300000,10400000,1,54500000,23816500000,676.6051136363636,0.5113636363636364,223.4659090909091,37.24431818181818
1813,4, Not Graduate, Yes,5200000,11400000,10,406,14700000,2000000,13000000,4400000,0,29700000,12058200000,1057.7368421052631,4.56140350877193,1851.9298245614034,370.38596491228066
1814,5, Not Graduate, No,6000000,19700000,20,376,14700000,10700000,17100000,5500000,0,42500000,15980000000,811.1675126903554,6.091370558375634,2290.3553299492382,381.72588832487304
1815,1, Graduate, No,5100000,13800000,14,350,6200000,2200000,12600000,3600000,0,21000000,7350000000,532.6086956521739,5.173913043478261,1810.8695652173913,905.4347826086956
1816,5, Not Graduate, Yes,8000000,22500000,20,784,7600000,7300000,26000000,10800000,1,40900000,32065600000,1425.1377777777777,7.111111111111111,5575.11111111111,929.1851851851851
1817,4, Graduate, Yes,9200000,25400000,14,765,21200000,6600000,25100000,5600000,1,52900000,40468500000,1593.248031496063,5.070866141732283,3879.2125984251966,775.8425196850393
1818,4, Not Graduate, No,9800000,32200000,18,593,9500000,400000,34000000,14300000,1,43900000,26032700000,808.4689440993789,5.478260869565218,3248.608695652174,649.7217391304348
1819,3, Graduate, Yes,7600000,30000000,10,344,19000000,13700000,27600000,11100000,0,60300000,20743200000,691.44,2.533333333333333,871.4666666666666,217.86666666666665
1820,1, Graduate, No,5100000,11800000,12,314,14700000,7600000,12400000,4900000,0,34700000,10895800000,923.3728813559322,5.186440677966102,1628.542372881356,814.271186440678
1821,4, Graduate, Yes,1500000,3300000,16,382,200000,2400000,3200000,1100000,0,5800000,2215600000,671.3939393939394,7.2727272727272725,2778.181818181818,555.6363636363636
1822,2, Not Graduate, Yes,6200000,16500000,4,510,14100000,4700000,18200000,6300000,0,37000000,18870000000,1143.6363636363637,1.503030303030303,766.5454545454545,255.5151515151515
1823,2, Graduate, Yes,6300000,24600000,8,464,7700000,2200000,13000000,6900000,0,22900000,10625600000,431.9349593495935,2.048780487804878,950.6341463414634,316.8780487804878
1824,1, Graduate, Yes,5500000,14900000,2,403,7400000,8900000,19700000,4100000,0,36000000,14508000000,973.6912751677852,0.738255033557047,297.51677852348996,148.75838926174498
1825,3, Not Graduate, No,8100000,30400000,12,606,900000,1100000,31900000,11600000,1,33900000,20543400000,675.7697368421053,3.1973684210526314,1937.6052631578946,484.40131578947364
1826,1, Graduate, No,6300000,22000000,20,646,9500000,7900000,13500000,5500000,1,30900000,19961400000,907.3363636363637,5.7272727272727275,3699.818181818182,1849.909090909091
1827,1, Graduate, No,1100000,3600000,20,495,1600000,1100000,3100000,500000,0,5800000,2871000000,797.5,6.111111111111111,3025.0,1512.5
1828,3, Not Graduate, Yes,7200000,21600000,2,626,10600000,1600000,26900000,3700000,1,39100000,24476600000,1133.1759259259259,0.6666666666666666,417.3333333333333,104.33333333333333
1829,1, Not Graduate, Yes,3000000,6000000,16,518,3800000,1700000,11600000,3900000,0,17100000,8857800000,1476.3,8.0,4144.0,2072.0
1830,5, Graduate, No,2700000,7600000,8,746,900000,2200000,7200000,3400000,1,10300000,7683800000,1011.0263157894736,2.8421052631578947,2120.2105263157896,353.3684210526316
1831,0, Not Graduate, No,5000000,16300000,12,737,2600000,3400000,11800000,4400000,1,17800000,13118600000,804.8220858895705,3.6809815950920246,2712.883435582822,2712.883435582822
1832,0, Not Graduate, No,8400000,22300000,14,371,8300000,3700000,22300000,9100000,0,34300000,12725300000,570.6412556053812,5.273542600896861,1956.4843049327355,1956.4843049327355
1833,1, Graduate, No,7700000,27300000,8,509,10100000,2200000,20200000,10800000,0,32500000,16542500000,605.952380952381,2.2564102564102564,1148.5128205128206,574.2564102564103
1834,1, Graduate, No,4700000,14000000,2,411,4600000,5100000,10600000,3700000,0,20300000,8343300000,595.95,0.6714285714285714,275.95714285714286,137.97857142857143
1835,2, Not Graduate, No,4300000,11800000,20,701,11600000,4600000,14200000,3300000,1,30400000,21310400000,1805.9661016949153,7.288135593220339,5108.983050847458,1702.994350282486
1836,5, Not Graduate, No,2500000,8800000,10,769,3700000,1600000,8200000,2700000,1,13500000,10381500000,1179.715909090909,2.840909090909091,2184.659090909091,364.1098484848485
1837,5, Not Graduate, Yes,4400000,12500000,6,740,8200000,2300000,9900000,5400000,1,20400000,15096000000,1207.68,2.112,1562.88,260.48
1838,5, Not Graduate, No,5700000,11600000,4,892,10200000,6100000,19800000,7400000,1,36100000,32201200000,2775.9655172413795,1.9655172413793103,1753.2413793103447,292.2068965517241
1839,2, Not Graduate, No,5300000,13100000,14,417,4900000,6200000,18200000,6800000,0,29300000,12218100000,932.6793893129772,5.66412213740458,2361.93893129771,787.3129770992367
1840,5, Graduate, No,4600000,14400000,6,785,6500000,6300000,14700000,6200000,1,27500000,21587500000,1499.1319444444443,1.9166666666666667,1504.5833333333335,250.7638888888889
1841,3, Not Graduate, No,400000,1100000,16,504,200000,400000,800000,400000,0,1400000,705600000,641.4545454545455,5.818181818181818,2932.3636363636365,733.0909090909091
1842,0, Not Graduate, No,2100000,5900000,14,402,4400000,0,4800000,1000000,0,9200000,3698400000,626.8474576271186,4.983050847457627,2003.1864406779662,2003.1864406779662
1843,2, Graduate, Yes,1200000,3500000,16,540,3100000,1800000,3500000,800000,0,8400000,4536000000,1296.0,5.485714285714286,2962.285714285714,987.4285714285714
1844,2, Graduate, Yes,8000000,28400000,10,607,11400000,3800000,29000000,11600000,1,44200000,26829400000,944.6971830985915,2.816901408450704,1709.8591549295772,569.9530516431925
1845,1, Graduate, Yes,5000000,19400000,10,410,11600000,6200000,11700000,4500000,0,29500000,12095000000,623.4536082474227,2.577319587628866,1056.701030927835,528.3505154639175
1846,0, Not Graduate, No,8500000,17200000,12,624,6500000,8400000,18600000,5100000,1,33500000,20904000000,1215.3488372093022,5.930232558139535,3700.4651162790697,3700.4651162790697
1847,4, Graduate, No,4600000,16600000,16,805,4800000,8000000,11500000,2800000,1,24300000,19561500000,1178.4036144578313,4.433734939759036,3569.156626506024,713.8313253012049
1848,2, Graduate, No,4600000,16100000,18,709,7100000,9000000,13800000,5400000,1,29900000,21199100000,1316.7142857142858,5.142857142857143,3646.2857142857147,1215.4285714285716
1849,2, Not Graduate, Yes,8500000,30900000,14,511,23300000,4400000,21900000,5500000,0,49600000,25345600000,820.2459546925567,3.8511326860841426,1967.9288025889969,655.9762675296656
1850,1, Graduate, Yes,7800000,25100000,18,766,6900000,7200000,16600000,10200000,1,30700000,23516200000,936.9003984063745,5.5936254980079685,4284.717131474104,2142.358565737052
1851,3, Not Graduate, Yes,1400000,3800000,16,451,3100000,1300000,4300000,1300000,0,8700000,3923700000,1032.5526315789473,5.894736842105263,2658.5263157894738,664.6315789473684
1852,1, Not Graduate, Yes,3700000,10200000,4,447,300000,2000000,14500000,3200000,0,16800000,7509600000,736.2352941176471,1.4509803921568627,648.5882352941177,324.29411764705884
1853,3, Not Graduate, Yes,1000000,2500000,18,763,400000,1100000,2100000,1400000,1,3600000,2746800000,1098.72,7.2,5493.6,1373.4
1854,5, Not Graduate, No,900000,3100000,20,834,1000000,900000,2100000,1300000,1,4000000,3336000000,1076.1290322580646,5.806451612903226,4842.580645161291,807.0967741935484
1855,2, Graduate, No,5600000,19500000,8,429,6100000,2200000,21100000,7200000,0,29400000,12612600000,646.8,2.2974358974358973,985.5999999999999,328.5333333333333
1856,4, Not Graduate, No,3200000,10600000,16,693,7800000,4900000,10400000,1800000,1,23100000,16008300000,1510.2169811320755,4.830188679245283,3347.320754716981,669.4641509433961
1857,1, Graduate, No,2900000,11100000,20,478,4200000,2900000,8500000,3000000,0,15600000,7456800000,671.7837837837837,5.225225225225225,2497.6576576576576,1248.8288288288288
1858,2, Graduate, Yes,300000,800000,10,752,600000,300000,1000000,400000,1,1900000,1428800000,1786.0,3.75,2820.0,940.0
1859,0, Graduate, Yes,2400000,5900000,14,319,2000000,4200000,9500000,3300000,0,15700000,5008300000,848.8644067796611,5.694915254237288,1816.677966101695,1816.677966101695
1860,3, Graduate, No,5000000,17600000,8,303,6300000,9600000,12800000,6900000,0,28700000,8696100000,494.09659090909093,2.272727272727273,688.6363636363637,172.15909090909093
1861,3, Not Graduate, Yes,5000000,16700000,20,420,1100000,5000000,18700000,6900000,0,24800000,10416000000,623.7125748502993,5.9880239520958085,2514.9700598802397,628.7425149700599
1862,2, Not Graduate, Yes,200000,600000,8,552,400000,200000,700000,200000,1,1300000,717600000,1196.0,2.6666666666666665,1472.0,490.6666666666667
1863,3, Not Graduate, Yes,6000000,16000000,12,606,2600000,11600000,19300000,7800000,1,33500000,20301000000,1268.8125,4.5,2727.0,681.75
1864,2, Not Graduate, No,5600000,13700000,2,558,7500000,9300000,12100000,6700000,1,28900000,16126200000,1177.094890510949,0.8175182481751825,456.17518248175185,152.05839416058396
1865,1, Not Graduate, No,4500000,12400000,6,504,12000000,3200000,13100000,2200000,0,28300000,14263200000,1150.258064516129,2.1774193548387095,1097.4193548387095,548.7096774193548
1866,5, Not Graduate, Yes,200000,300000,8,412,-100000,100000,500000,100000,0,500000,206000000,686.6666666666666,5.333333333333333,2197.333333333333,366.2222222222222
1867,4, Not Graduate, Yes,6200000,18300000,4,900,16900000,3400000,15300000,6400000,1,35600000,32040000000,1750.8196721311476,1.355191256830601,1219.672131147541,243.9344262295082
1868,4, Not Graduate, Yes,9800000,23800000,8,634,12800000,9300000,37600000,6100000,1,59700000,37849800000,1590.327731092437,3.2941176470588234,2088.470588235294,417.6941176470588
1869,5, Graduate, Yes,3900000,9000000,8,340,4900000,6800000,9000000,5200000,0,20700000,7038000000,782.0,3.466666666666667,1178.6666666666667,196.44444444444446
1870,3, Not Graduate, Yes,8300000,20900000,4,615,4400000,200000,19000000,9600000,1,23600000,14514000000,694.4497607655502,1.5885167464114833,976.9377990430622,244.23444976076556
1871,2, Graduate, Yes,4900000,12200000,18,353,7000000,200000,14400000,3600000,0,21600000,7624800000,624.983606557377,7.229508196721311,2552.0163934426228,850.6721311475409
1872,4, Graduate, Yes,6900000,16300000,8,606,5800000,900000,23700000,3600000,1,30400000,18422400000,1130.2085889570553,3.3865030674846626,2052.2208588957055,410.44417177914113
1873,2, Not Graduate, No,4500000,14500000,18,498,7900000,200000,13500000,4800000,0,21600000,10756800000,741.8482758620689,5.586206896551724,2781.9310344827586,927.3103448275862
1874,4, Not Graduate, No,7500000,21900000,2,585,6800000,12200000,27500000,8100000,1,46500000,27202500000,1242.123287671233,0.684931506849315,400.6849315068493,80.13698630136986
1875,1, Not Graduate, Yes,2300000,6400000,8,578,3600000,1800000,7000000,3000000,1,12400000,7167200000,1119.875,2.875,1661.75,830.875
1876,1, Graduate, No,7400000,15500000,2,693,3000000,12800000,21800000,9300000,1,37600000,26056800000,1681.0838709677419,0.9548387096774194,661.7032258064517,330.8516129032258
1877,4, Graduate, No,4800000,14300000,6,795,5900000,0,11100000,2600000,1,17000000,13515000000,945.1048951048951,2.013986013986014,1601.1188811188813,320.22377622377627
1878,1, Graduate, No,2600000,9900000,6,594,2900000,4300000,6700000,2500000,1,13900000,8256600000,834.0,1.5757575757575757,936.0,468.0
1879,3, Not Graduate, Yes,2700000,10600000,8,840,500000,3000000,9000000,1900000,1,12500000,10500000000,990.566037735849,2.0377358490566038,1711.698113207547,427.92452830188677
1880,3, Not Graduate, No,3700000,10900000,16,301,7800000,2300000,9600000,3400000,0,19700000,5929700000,544.0091743119266,5.431192660550459,1634.7889908256882,408.69724770642205
1881,4, Graduate, Yes,2600000,9400000,18,481,2700000,4400000,8600000,2400000,0,15700000,7551700000,803.3723404255319,4.9787234042553195,2394.7659574468084,478.9531914893617
1882,5, Not Graduate, Yes,8800000,23100000,16,531,20800000,2600000,22100000,8000000,0,45500000,24160500000,1045.909090909091,6.095238095238095,3236.5714285714284,539.4285714285714
1883,2, Not Graduate, No,7500000,15400000,8,332,8300000,3100000,23700000,5400000,0,35100000,11653200000,756.7012987012987,3.896103896103896,1293.5064935064936,431.1688311688312
1884,0, Graduate, No,4700000,18500000,4,516,1000000,8400000,10400000,6100000,1,19800000,10216800000,552.2594594594594,1.0162162162162163,524.3675675675676,524.3675675675676
1885,2, Not Graduate, No,7100000,26600000,6,727,16500000,9800000,21100000,7900000,1,47400000,34459800000,1295.4812030075188,1.6015037593984962,1164.2932330827068,388.09774436090225
1886,3, Not Graduate, Yes,5500000,19300000,10,344,14400000,1300000,12400000,6600000,0,28100000,9666400000,500.8497409326425,2.849740932642487,980.3108808290156,245.0777202072539
1887,2, Graduate, No,9500000,31500000,12,650,17600000,16600000,22200000,11400000,1,56400000,36660000000,1163.8095238095239,3.619047619047619,2352.3809523809523,784.1269841269841
1888,3, Graduate, Yes,4200000,15400000,8,362,9900000,5300000,15500000,5600000,0,30700000,11113400000,721.6493506493506,2.1818181818181817,789.8181818181818,197.45454545454544
1889,5, Graduate, Yes,6900000,18600000,18,307,3500000,4800000,25300000,4200000,0,33600000,10315200000,554.5806451612904,6.67741935483871,2049.967741935484,341.66129032258067
1890,5, Graduate, No,9900000,24600000,2,530,24200000,12800000,20400000,13000000,0,57400000,30422000000,1236.6666666666667,0.8048780487804879,426.5853658536586,71.09756097560977
1891,5, Graduate, No,6700000,17700000,6,482,3200000,10400000,18500000,5700000,0,32100000,15472200000,874.1355932203389,2.2711864406779663,1094.7118644067798,182.45197740112997
1892,0, Not Graduate, Yes,9300000,22200000,14,701,600000,10100000,35900000,5700000,1,46600000,32666600000,1471.4684684684685,5.864864864864865,4111.27027027027,4111.27027027027
1893,2, Graduate, No,5600000,17200000,16,586,13700000,2100000,14300000,4300000,1,30100000,17638600000,1025.5,5.209302325581396,3052.651162790698,1017.5503875968993
1894,0, Graduate, Yes,8100000,17600000,16,384,15200000,13300000,31700000,10200000,0,60200000,23116800000,1313.4545454545455,7.363636363636363,2827.6363636363635,2827.6363636363635
1895,4, Not Graduate, No,6000000,18000000,18,882,6700000,2500000,12200000,7500000,1,21400000,18874800000,1048.6,6.0,5292.0,1058.4
1896,5, Not Graduate, Yes,4200000,11200000,2,758,5300000,6500000,9600000,3800000,1,21400000,16221200000,1448.3214285714287,0.75,568.5,94.75
1897,5, Graduate, No,1600000,4000000,18,529,300000,1200000,5300000,2000000,0,6800000,3597200000,899.3,7.2,3808.8,634.8000000000001
1898,3, Graduate, Yes,800000,1500000,2,589,1500000,1100000,1800000,400000,1,4400000,2591600000,1727.7333333333333,1.0666666666666667,628.2666666666667,157.06666666666666
1899,1, Graduate, No,500000,1300000,6,670,1000000,500000,1400000,700000,1,2900000,1943000000,1494.6153846153845,2.3076923076923075,1546.153846153846,773.076923076923
1900,5, Not Graduate, Yes,4300000,14100000,12,532,12600000,5700000,12000000,4600000,0,30300000,16119600000,1143.2340425531916,3.6595744680851063,1946.8936170212767,324.4822695035461
1901,0, Not Graduate, No,4000000,12500000,18,868,11000000,800000,14400000,2300000,1,26200000,22741600000,1819.328,5.76,4999.679999999999,4999.679999999999
1902,2, Not Graduate, No,2900000,7300000,2,776,8300000,3000000,8500000,3400000,1,19800000,15364800000,2104.7671232876714,0.7945205479452054,616.5479452054794,205.5159817351598
1903,5, Graduate, Yes,2300000,9100000,16,644,4000000,2600000,6600000,3100000,1,13200000,8500800000,934.1538461538462,4.043956043956044,2604.3076923076924,434.05128205128204
1904,0, Graduate, Yes,1800000,6000000,12,658,2900000,2300000,4500000,2400000,1,9700000,6382600000,1063.7666666666667,3.6,2368.8,2368.8
1905,1, Graduate, Yes,8700000,33900000,10,766,16300000,700000,19500000,9000000,1,36500000,27959000000,824.7492625368732,2.566371681415929,1965.8407079646017,982.9203539823009
1906,3, Not Graduate, No,7800000,21100000,12,717,1200000,10700000,19900000,6200000,1,31800000,22800600000,1080.5971563981043,4.436018957345971,3180.6255924170614,795.1563981042653
1907,2, Graduate, No,3200000,6300000,10,339,300000,4900000,7300000,2700000,0,12500000,4237500000,672.6190476190476,5.079365079365079,1721.9047619047617,573.9682539682539
1908,0, Not Graduate, No,1600000,4500000,18,463,100000,2000000,4100000,1800000,0,6200000,2870600000,637.9111111111112,6.4,2963.2000000000003,2963.2000000000003
1909,4, Not Graduate, No,2400000,7300000,4,540,2500000,300000,7800000,2200000,1,10600000,5724000000,784.1095890410959,1.3150684931506849,710.1369863013698,142.02739726027397
1910,1, Graduate, No,1800000,5900000,16,804,800000,2500000,5000000,1000000,1,8300000,6673200000,1131.050847457627,4.88135593220339,3924.6101694915255,1962.3050847457628
1911,1, Graduate, No,7500000,16000000,10,541,16300000,4500000,22400000,5100000,0,43200000,23371200000,1460.7,4.6875,2535.9375,1267.96875
1912,4, Not Graduate, Yes,6700000,18400000,10,371,1900000,1400000,15700000,4400000,0,19000000,7049000000,383.0978260869565,3.641304347826087,1350.9239130434783,270.1847826086956
1913,5, Graduate, No,5800000,13700000,6,369,10500000,2700000,12100000,3000000,0,25300000,9335700000,681.4379562043796,2.54014598540146,937.3138686131387,156.21897810218977
1914,0, Not Graduate, No,500000,1800000,2,651,700000,0,1700000,200000,1,2400000,1562400000,868.0,0.5555555555555556,361.6666666666667,361.6666666666667
1915,0, Graduate, Yes,9400000,30700000,10,477,17400000,900000,27500000,6200000,0,45800000,21846600000,711.6156351791531,3.0618892508143323,1460.5211726384364,1460.5211726384364
1916,4, Not Graduate, No,1600000,6200000,18,554,3200000,800000,5500000,1100000,1,9500000,5263000000,848.8709677419355,4.645161290322581,2573.4193548387098,514.683870967742
1917,0, Graduate, Yes,9300000,25000000,14,362,14900000,16100000,32300000,11000000,0,63300000,22914600000,916.584,5.208,1885.296,1885.296
1918,5, Graduate, No,3700000,14000000,2,469,3800000,600000,8000000,2800000,1,12400000,5815600000,415.4,0.5285714285714286,247.9,41.31666666666667
1919,3, Not Graduate, No,900000,1900000,12,547,2400000,400000,3000000,400000,0,5800000,3172600000,1669.7894736842106,5.684210526315789,3109.2631578947367,777.3157894736842
1920,4, Not Graduate, No,500000,1300000,6,809,200000,300000,900000,500000,1,1400000,1132600000,871.2307692307693,2.3076923076923075,1866.9230769230767,373.38461538461536
1921,1, Graduate, Yes,7800000,16200000,2,335,4900000,7900000,28700000,6400000,0,41500000,13902500000,858.179012345679,0.9629629629629629,322.59259259259255,161.29629629629628
1922,5, Not Graduate, Yes,5300000,13700000,18,708,7600000,900000,19200000,5900000,1,27700000,19611600000,1431.5036496350365,6.963503649635037,4930.160583941606,821.6934306569343
1923,0, Graduate, No,300000,700000,16,779,200000,0,1000000,400000,1,1200000,934800000,1335.4285714285713,6.857142857142857,5341.714285714285,5341.714285714285
1924,0, Graduate, Yes,5000000,19900000,6,748,8300000,8500000,11300000,3000000,1,28100000,21018800000,1056.2211055276382,1.5075376884422111,1127.638190954774,1127.638190954774
1925,0, Graduate, No,7900000,28600000,18,541,400000,3900000,22300000,6700000,0,26600000,14390600000,503.16783216783216,4.972027972027972,2689.8671328671326,2689.8671328671326
1926,4, Graduate, No,5300000,15800000,2,527,3800000,5200000,19700000,3900000,0,28700000,15124900000,957.2721518987341,0.6708860759493671,353.55696202531647,70.7113924050633
1927,0, Not Graduate, Yes,5500000,15300000,4,859,4600000,9500000,21400000,2900000,1,35500000,30494500000,1993.1045751633987,1.4379084967320261,1235.1633986928105,1235.1633986928105
1928,0, Graduate, No,1500000,5600000,18,604,2000000,2400000,4400000,1800000,1,8800000,5315200000,949.1428571428571,4.821428571428571,2912.142857142857,2912.142857142857
1929,5, Graduate, No,6600000,20100000,18,348,6900000,2500000,22500000,7200000,0,31900000,11101200000,552.2985074626865,5.91044776119403,2056.8358208955224,342.8059701492537
